X,Y,Diameter (m),Area,Perimeter,Circularity,AspectRatio,ShapeType
1488,813,23.48,255.5,69.36,0.67,1.15,Irregular
727,807,27.86,254.0,69.6,0.66,0.67,Elongated
1660,793,12.65,78.5,34.38,0.83,0.77,Irregular
933,839,128.22,1729.5,323.06,0.21,0.73,Irregular
763,784,9.49,38.5,24.38,0.81,0.8,Irregular
1077,791,31.31,321.0,76.43,0.69,0.69,Elongated
1005,797,42.3,481.0,104.91,0.55,0.44,Elongated
951,774,15.81,93.0,40.63,0.71,0.93,Irregular
854,799,70.73,1037.0,194.79,0.34,1.09,Irregular
1165,787,48.88,965.5,130.12,0.72,0.91,Irregular
932,768,4.47,12.5,13.07,0.92,1.0,Round
1628,770,15.81,145.5,44.87,0.91,0.88,Irregular
1143,807,127.66,1899.0,320.05,0.23,0.9,Irregular
1132,763,23.62,233.0,64.77,0.7,1.0,Irregular
925,778,54.92,452.0,131.54,0.33,0.74,Irregular
936,758,8.54,35.5,22.73,0.86,0.78,Irregular
1044,780,59.2,768.0,141.88,0.48,0.45,Elongated
876,775,49.9,815.5,208.41,0.24,0.75,Irregular
847,750,7.07,27.0,19.31,0.91,0.75,Irregular
1025,748,7.69,34.5,21.9,0.9,1.14,Irregular
1642,743,26.19,243.0,73.6,0.56,1.59,Elongated
1092,737,14.32,86.5,36.38,0.82,1.4,Irregular
942,739,21.02,175.5,52.87,0.79,0.7,Irregular
1120,735,12.65,71.5,33.56,0.8,0.69,Elongated
900,730,4.33,11.0,12.49,0.89,1.0,Round
1690,733,12.65,87.0,34.97,0.89,0.77,Irregular
1613,732,14.04,94.5,38.04,0.82,0.73,Irregular
988,728,6.32,25.5,18.73,0.91,1.0,Round
1150,740,35.86,477.0,102.08,0.58,0.71,Irregular
886,725,9.06,29.5,21.9,0.77,0.5,Elongated
1664,726,12.65,47.5,31.21,0.61,0.69,Elongated
1325,738,47.89,714.5,148.95,0.4,0.77,Irregular
1154,718,6.08,18.5,16.73,0.83,0.86,Irregular
1104,723,25.15,343.0,72.43,0.82,1.14,Irregular
958,718,14.87,88.0,38.63,0.74,1.36,Irregular
1282,720,20.62,223.0,56.63,0.87,0.75,Irregular
931,727,45.0,315.0,116.57,0.29,0.86,Irregular
1130,712,9.6,54.0,28.14,0.86,0.9,Irregular
907,714,12.37,44.5,29.9,0.63,0.46,Elongated
1222,727,48.55,387.5,115.3,0.37,0.72,Irregular
923,709,7.28,17.5,17.9,0.69,0.62,Elongated
1605,713,24.17,245.5,63.36,0.77,0.78,Irregular
1380,709,18.03,114.0,45.46,0.69,0.76,Irregular
1413,704,11.7,57.0,30.14,0.79,1.5,Irregular
1302,705,24.35,129.0,61.11,0.43,0.62,Elongated
910,697,7.28,31.0,21.31,0.86,0.88,Irregular
1072,709,37.48,473.5,97.98,0.62,0.55,Elongated
1267,697,14.56,86.0,36.97,0.79,0.6,Elongated
1238,693,15.81,91.5,39.21,0.75,0.62,Elongated
1401,688,10.3,41.0,26.14,0.75,0.8,Irregular
1350,723,92.36,1761.5,248.69,0.36,0.62,Elongated
1376,681,9.49,43.5,25.56,0.84,0.8,Irregular
1133,690,31.78,253.0,75.25,0.56,0.63,Elongated
1244,673,9.01,44.5,25.56,0.86,1.0,Round
1208,674,10.44,38.5,25.9,0.72,0.55,Elongated
1419,677,23.02,192.0,61.11,0.65,0.86,Irregular
1358,671,19.32,112.0,51.11,0.54,1.46,Irregular
910,670,6.08,19.0,16.49,0.88,0.71,Irregular
1230,668,11.4,65.0,30.97,0.85,1.33,Irregular
1607,664,8.94,42.5,25.56,0.82,1.0,Irregular
1545,652,9.49,44.5,25.56,0.86,0.8,Irregular
1295,649,10.2,47.5,27.56,0.79,1.38,Irregular
1572,651,44.94,681.5,114.33,0.66,0.63,Elongated
1219,637,23.54,155.5,57.21,0.6,0.46,Elongated
1383,650,55.36,880.0,177.34,0.35,0.68,Elongated
1267,635,24.04,303.0,67.6,0.83,0.83,Irregular
1340,638,31.3,410.0,92.57,0.6,0.66,Elongated
1234,624,12.08,58.0,30.14,0.8,0.54,Elongated
1087,641,46.17,545.0,119.4,0.48,0.51,Elongated
1676,607,4.33,11.0,12.49,0.89,1.0,Round
1339,592,9.11,24.0,22.49,0.6,0.5,Elongated
1629,630,108.23,5500.5,428.92,0.38,1.07,Irregular
1632,658,6.08,14.5,15.07,0.8,1.75,Elongated
1610,623,18.61,126.5,56.87,0.49,1.06,Irregular
1353,579,15.81,85.5,38.87,0.71,1.08,Irregular
1480,603,79.85,2614.5,262.84,0.48,0.89,Irregular
1438,569,5.83,17.5,15.9,0.87,1.0,Round
1542,586,46.24,1144.5,131.78,0.83,0.91,Irregular
1310,577,30.46,491.0,94.57,0.69,1.03,Irregular
1685,558,5.0,11.0,13.31,0.78,0.83,Irregular
1508,561,10.44,50.0,27.31,0.84,0.64,Elongated
1599,564,28.64,250.5,75.36,0.55,0.62,Elongated
1462,556,18.25,167.0,50.28,0.83,0.74,Irregular
1364,552,12.08,62.5,31.56,0.79,0.75,Irregular
1286,594,109.93,3038.0,326.19,0.36,0.7,Elongated
1437,541,17.01,152.0,49.11,0.79,1.06,Irregular
1423,535,17.29,131.0,44.63,0.83,0.61,Elongated
1350,534,23.43,197.5,61.36,0.66,0.74,Irregular
1424,479,16.49,103.5,42.38,0.72,0.59,Elongated
1110,476,11.74,61.5,31.56,0.78,0.75,Irregular
1282,470,9.0,32.5,22.73,0.79,0.6,Elongated
1437,464,15.26,87.0,38.63,0.73,0.86,Irregular
1204,461,15.43,152.5,48.04,0.83,1.0,Irregular
1194,441,14.32,61.5,34.38,0.65,0.53,Elongated
1422,425,13.15,84.0,35.8,0.82,0.71,Irregular
1465,423,15.33,102.5,41.21,0.76,0.69,Elongated
1173,418,10.2,40.0,26.14,0.74,0.64,Elongated
1502,414,9.49,51.5,27.56,0.85,0.9,Irregular
1161,408,10.3,48.0,26.97,0.83,0.9,Irregular
1096,399,5.39,16.5,15.07,0.91,0.83,Irregular
1202,399,12.08,66.5,31.56,0.84,0.62,Elongated
1230,392,6.08,18.0,16.49,0.83,0.71,Irregular
1293,390,5.39,16.5,15.07,0.91,1.2,Irregular
1149,367,23.54,203.5,59.7,0.72,0.58,Elongated
1267,358,14.56,92.5,38.38,0.79,0.67,Elongated
1129,356,15.3,110.0,40.63,0.84,0.69,Elongated
1295,352,15.81,68.5,38.04,0.59,0.62,Elongated
1153,341,9.49,47.0,26.14,0.86,0.8,Irregular
1412,344,19.31,188.0,53.11,0.84,0.84,Irregular
1282,341,19.7,157.0,52.28,0.72,1.27,Irregular
1185,336,8.0,22.0,19.31,0.74,0.56,Elongated
1051,332,5.44,13.5,14.73,0.78,1.0,Irregular
1126,330,10.3,59.5,29.56,0.86,1.0,Round
1209,335,20.62,130.5,50.04,0.65,0.52,Elongated
1327,335,26.4,216.0,66.77,0.61,0.72,Irregular
1068,322,9.22,39.0,24.97,0.79,0.8,Irregular
1296,321,10.44,59.5,29.56,0.86,0.82,Irregular
1424,319,8.87,44.5,25.56,0.86,1.0,Round
1111,323,16.95,137.0,48.28,0.74,1.13,Irregular
1384,316,7.28,28.5,19.9,0.9,1.33,Irregular
1265,315,14.32,89.0,37.8,0.78,0.79,Irregular
1111,309,11.7,61.5,31.21,0.79,0.83,Irregular
1251,297,6.32,15.5,15.9,0.77,0.71,Irregular
1155,299,11.7,48.0,28.97,0.72,0.67,Elongated
1381,398,211.4,7842.5,817.74,0.15,0.49,Elongated
1322,388,10.44,44.5,27.56,0.74,0.73,Irregular
1291,298,11.05,59.5,29.56,0.86,0.67,Elongated
1323,293,9.85,51.5,26.73,0.91,0.8,Irregular
1096,292,8.06,24.5,19.9,0.78,0.56,Elongated
1031,292,8.25,35.5,22.73,0.86,0.78,Irregular
1214,290,10.44,48.0,26.97,0.83,0.73,Irregular
1283,277,5.1,11.5,13.07,0.85,0.67,Elongated
1148,277,6.32,24.5,18.73,0.88,1.0,Round
1267,265,4.12,10.0,11.66,0.92,1.25,Irregular
1101,266,5.1,15.0,14.49,0.9,0.83,Irregular
1213,273,32.54,269.5,97.5,0.36,1.04,Irregular
1072,261,9.85,25.0,24.14,0.54,0.7,Irregular
1093,260,10.2,52.5,27.56,0.87,1.38,Irregular
1154,255,10.2,50.5,27.56,0.84,0.73,Irregular
1178,249,4.12,10.0,11.66,0.92,0.8,Irregular
1198,258,38.08,349.5,97.84,0.46,0.44,Elongated
1117,242,17.49,150.0,49.46,0.77,0.78,Irregular
1091,231,5.83,16.5,15.9,0.82,1.0,Irregular
1184,233,17.46,144.0,46.97,0.82,0.61,Elongated
1150,226,12.08,58.5,31.21,0.75,0.83,Irregular
1135,212,7.62,28.5,20.73,0.83,1.14,Irregular
1154,211,10.25,59.0,28.97,0.88,1.22,Irregular
1112,203,13.04,79.5,35.21,0.81,0.71,Irregular
1294,177,5.39,12.5,13.9,0.81,1.2,Irregular
815,135,8.77,40.5,24.73,0.83,1.12,Irregular
1040,140,30.02,298.5,79.84,0.59,0.58,Elongated
1164,131,17.0,112.0,43.8,0.73,0.75,Irregular
1755,127,11.05,48.0,29.31,0.7,0.58,Elongated
1762,117,7.62,19.0,19.66,0.62,1.6,Elongated
818,115,7.28,28.0,20.49,0.84,0.75,Irregular
792,121,23.37,114.5,57.36,0.44,0.9,Irregular
1494,109,22.14,167.0,54.28,0.71,0.59,Elongated
809,97,6.32,13.5,15.07,0.75,0.57,Elongated
1657,94,19.7,111.5,48.38,0.6,0.53,Elongated
1459,93,24.7,188.5,65.84,0.55,1.2,Irregular
1404,88,15.3,152.0,47.46,0.85,0.94,Irregular
1434,73,5.83,17.5,16.24,0.83,0.83,Irregular
1637,71,8.49,25.0,21.31,0.69,1.14,Irregular
1496,79,30.48,219.5,102.67,0.26,1.0,Irregular
1704,80,30.03,182.0,73.94,0.42,0.35,Elongated
775,66,7.21,23.5,19.07,0.81,0.86,Irregular
787,62,6.08,16.0,15.66,0.82,0.57,Elongated
759,54,4.71,10.5,13.07,0.77,1.0,Irregular
1498,59,18.03,134.0,47.8,0.74,0.67,Elongated
1696,52,14.32,50.0,34.14,0.54,0.57,Elongated
857,78,66.78,2499.5,201.24,0.78,0.94,Irregular
855,76,38.91,661.5,101.15,0.81,0.78,Irregular
1674,59,35.36,366.5,92.33,0.54,0.79,Irregular
1417,48,8.54,25.5,21.9,0.67,0.67,Elongated
1752,36,15.65,50.5,37.56,0.45,0.6,Elongated
1671,25,9.43,40.5,25.07,0.81,0.78,Irregular
1628,17,4.75,11.5,13.07,0.85,1.0,Irregular
1376,19,17.38,139.0,47.46,0.78,0.72,Irregular
565,12,6.4,13.5,15.07,0.75,0.83,Irregular
1738,12,9.55,41.5,25.9,0.78,0.7,Irregular
1645,10,12.22,75.0,33.8,0.83,1.09,Irregular
1650,1,9.22,24.5,22.24,0.62,2.5,Elongated
1561,6,14.14,90.0,38.97,0.74,1.5,Irregular
1537,2,14.56,59.5,35.07,0.61,2.5,Elongated
1465,18,38.09,361.0,96.28,0.49,0.45,Elongated
1417,11,25.5,82.0,59.46,0.29,0.54,Elongated
590,3,9.22,38.5,25.07,0.77,1.0,Irregular
