X,Y,Diameter (m),Area,Perimeter,Circularity,AspectRatio,ShapeType
765,1327,6.32,4.0,13.66,0.27,3.63,Elongated
638,946,5.1,5.5,12.24,0.46,2.02,Elongated
588,801,9.85,15.0,23.31,0.35,3.27,Elongated
543,586,14.14,32.5,33.9,0.36,4.38,Elongated
738,556,7.07,2.0,15.31,0.11,1.0,Irregular
190,382,5.2,12.5,14.24,0.77,1.26,Irregular
